sampleID	Occurence_Microstates_A	Occurence_Microstates_B	Occurence_Microstates_C	Occurence_Microstates_D	Occurence_Microstates_E	Occurence_Microstates_F	Occurence_Microstates_G	Duration_Microstates_A	Duration_Microstates_B	Duration_Microstates_C	Duration_Microstates_D	Duration_Microstates_E	Duration_Microstates_F	Duration_Microstates_G
LCC1144_52	2.089041096	2.705479452	2.239726027	1.376712329	1.547945205	1.808219178	1.452054795	74.29508197	85.32658228	83.21712538	77.05472637	68.69026549	67.15151515	64.54716981
LCC1145_52	2.040540541	2.155405405	2.804054054	1.736486486	1.635135135	1.641891892	1.959459459	69.48344371	70.64576803	80.8	67.01945525	66.99173554	70.1563786	70.56551724
LCC1146_0	2.05	1.7	2.15	1.575	1.7625	1.6875	1.3125	87.75609756	73.44117647	92.27906977	84.28571429	75.74468085	74.78518519	79.54285714
LCC1146_52	2.013888889	2.583333333	2.652777778	1.770833333	1.666666667	1.541666667	1.354166667	70.73103448	78.4516129	82.78534031	72.84705882	70.2	68.01801802	62.33846154
LCC1147_52	2.541666667	2.6875	2.069444444	1.409722222	1.708333333	1.611111111	1.965277778	75.83606557	80.11369509	72.36241611	65.16256158	65.07317073	64.94827586	68.45229682
LCC1148_52	2.276315789	2.046052632	2.375	1.348684211	2.138157895	1.901315789	1.710526316	75.23699422	71.63987138	77.6398892	64.66341463	72.77538462	72.09688581	68.90769231
LCC1149_52	1.72	1.89	2.17	1.7	1.86	1.91	1.42	80.25581395	83.00529101	80.53456221	77.41176471	79.56989247	79.05759162	70.22535211
LCC1150_0	2.420454545	1.625	1.897727273	1.704545455	2.204545455	1.715909091	1.181818182	84.43192488	72.75524476	76.26347305	79.12	88.68041237	72.87417219	65.38461538
LCC1151_0	2.035211268	2.352112676	2.007042254	1.133802817	1.704225352	1.556338028	1.302816901	86.96193772	91.56886228	85.44561404	74.98136646	80.29752066	73.21266968	77.01621622
LCC1151_52	1.970588235	2.191176471	2.073529412	1.889705882	1.139705882	1.441176471	1.992647059	76.40298507	87.42281879	81.80141844	81.49416342	71.1483871	68.79591837	77.29889299
LCC1152_0	1.922222222	1.911111111	2.011111111	1.466666667	1.777777778	1.611111111	1.688888889	80.99421965	82.13953488	78.49723757	77.54545455	84.0	83.33793103	78.23684211
LCC1152_52	2.3125	1.75	2.409722222	1.458333333	2.340277778	2.152777778	1.847222222	69.69369369	67.26984127	73.30259366	67.40952381	73.13946588	69.23870968	68.18045113
LCC1154_0	1.828125	1.9453125	2.28125	1.28125	1.953125	1.75	1.4375	80.4957265	88.01606426	88.49315068	75.85365854	81.44	68.73214286	71.80434783
LCC1154_52	2.00877193	1.850877193	2.438596491	1.5	1.929824561	1.51754386	1.684210526	81.85152838	76.13270142	89.5971223	73.68421053	74.58181818	70.84393064	67.8125
LCC1155_0	1.864285714	1.964285714	1.892857143	1.557142857	2.242857143	1.892857143	1.007142857	84.81226054	75.50545455	81.91698113	82.40366972	86.76433121	79.78867925	64.11347518
LCC1155_52	2.079710145	1.942028986	2.413043478	1.855072464	1.81884058	1.362318841	1.492753623	74.8989547	76.58208955	84.85285285	77.59375	82.31075697	70.46808511	67.72815534
LCC1156_0	2.154545455	1.727272727	2.263636364	1.645454545	2.590909091	2.054545455	1.309090909	73.09704641	70.65263158	76.86746988	67.93370166	75.57894737	77.52212389	60.80555556
LCC1156_52	2.065789474	1.921052632	2.092105263	1.618421053	2.197368421	2.223684211	1.697368421	75.66878981	74.49315068	72.05031447	66.01626016	75.83233533	74.31952663	65.45736434
LCC1157_52	1.675925926	1.842592593	2.611111111	1.62962963	1.75	1.768518519	1.648148148	73.41436464	80.26130653	91.36170213	76.36363636	76.46560847	70.03141361	65.7752809
LCC1158_0	2.376923077	2.169230769	2.530769231	1.161538462	1.638461538	1.838461538	2.015384615	77.07443366	71.90070922	78.73556231	61.16556291	67.84976526	72.13389121	72.80916031
LCC1159_0	2.318181818	2.136363636	1.511363636	1.954545455	1.522727273	1.534090909	0.977272727	95.90196078	88.38297872	78.88721805	90.30232558	73.1641791	75.40740741	67.58139535
LCC2001_0	1.819672131	2.049180328	2.459016393	1.360655738	1.893442623	1.647540984	1.729508197	76.01801802	70.736	88.66666667	68.43373494	77.50649351	77.11442786	76.18957346
LCC2001_52	2.301587302	1.746031746	2.515873016	1.436507937	2.063492063	1.777777778	1.595238095	76.05517241	73.30909091	81.29968454	73.67955801	74.35384615	67.08928571	71.38308458
LCC2002_52	1.696721311	2.180327869	2.237704918	1.836065574	1.918032787	2.426229508	1.131147541	70.62801932	82.16541353	74.43223443	79.28571429	72.11965812	72.68918919	65.5942029
LCC2006_0	2.059322034	1.805084746	1.830508475	1.330508475	2.669491525	1.228813559	1.5	77.00411523	79.36150235	81.59259259	78.70063694	91.63174603	74.84137931	71.68361582
LCC2006_52	2.009615385	2.384615385	2.336538462	1.076923077	1.730769231	1.528846154	1.701923077	80.22966507	89.16129032	81.5473251	69.96428571	69.55555556	72.45283019	75.86440678
LCC2007_0	1.960526316	2.223684211	2.447368421	1.842105263	2.197368421	1.75	1.565789474	72.37583893	75.19526627	73.22580645	68.82857143	71.49700599	68.5112782	68.90756303
LCC2008_0	1.779661017	2.533898305	2.525423729	1.550847458	1.991525424	1.889830508	1.101694915	69.12380952	77.28428094	84.10738255	70.2295082	77.17446809	71.69506726	64.12307692
LCC2008_52	1.985714286	1.9	2.35	1.585714286	1.807142857	2.071428571	1.185714286	76.74820144	81.95488722	85.30091185	74.30630631	74.68774704	77.36551724	66.09638554
LCC2010_0	2.085714286	1.9	1.914285714	1.385714286	1.471428571	1.428571429	1.6	95.06849315	91.60902256	81.46268657	91.87628866	79.76699029	72.32	77.32142857
LCC2011_0	1.849056604	1.613207547	1.952830189	1.641509434	1.556603774	1.91509434	1.70754717	83.36734694	81.40350877	85.91304348	83.54022989	76.29090909	76.13793103	84.95027624
