sampleID	Temporal_Gyrus_(mid)_Left_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_Left_Supramarginal_Gyrus_left	Superior_Frontal_Gyrus_(ventral)_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_right_Supramarginal_Gyrus_left	Temporal_Gyrus_(mid)_right_Supramarginal_Gyrus_left	Supramarginal_Gyrus_right_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_Left_Temporal_Gyrus_(mid)_left	Superior_Frontal_Gyrus_(ventral)_Temporal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Temporal_Gyrus_(mid)_left	Temporal_Gyrus_(mid)_right_Temporal_Gyrus_(mid)_left	Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_left	Superior_Frontal_Gyrus_(ventral)_Frontal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left	Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left	Supramarginal_Gyrus_right_Frontal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Superior_Frontal_Gyrus_(ventral)	Supramarginal_Gyrus_right_Superior_Frontal_Gyrus_(ventral)	Temporal_Gyrus_(mid)_right_Superior_Frontal_Gyrus_(ventral)	Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_right	Supramarginal_Gyrus_right_Frontal_Gyrus_(mid)_right	Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_right
LCC1064_52	0.434819948	0.342220936	-0.159079553	0.218032265	0.279718517	0.603820432	0.288219504	-0.215727924	0.166866662	0.693897631	-0.003239665	0.516562381	0.590051866	0.37526461	0.488459223	0.330720391	0.088617199	-0.024448459	0.692165228	0.70458222	0.200103571
LCC1065_52	0.767599558	0.45941218	0.164390093	0.406411947	0.567940118	0.131089888	0.667770412	0.220617723	0.845992264	0.889539595	0.064410495	-0.015975901	0.736870686	0.436027509	0.331546188	0.296486341	-0.192437748	0.011839872	0.692739576	-0.001739459	0.144859939
LCC1066_52	0.200489178	0.538743933	0.245366468	0.027513184	-0.191743377	0.66827907	0.396054039	0.349238892	0.912736889	0.750588105	0.380100261	0.613126695	0.351190759	0.243422665	0.415501012	0.357720377	0.158359808	0.160671455	0.636135658	0.318861985	0.020543462
LCC1067_52	0.499885074	0.191451987	0.086441813	0.206635268	0.493830755	0.322840543	0.519190759	0.472642612	0.504046923	0.719222239	0.342718225	0.959490205	0.339318591	0.462910907	0.661092765	0.502036808	0.489154469	0.424359472	0.634872188	0.047478514	0.365588875
LCC1068_52	0.403444505	0.285343217	0.255153779	0.260939807	0.438935413	0.397884225	0.066768025	-0.023136504	-0.297552832	0.188243475	-0.04960268	0.453917026	0.367304509	-0.152111347	0.320899278	0.878244648	0.596729881	0.174022195	0.237978892	0.668552767	0.283105369
LCC1069_0	0.977991119	0.576531142	0.254785844	0.90706731	0.82355685	1.113180975	0.758867103	0.53680404	1.137157415	1.151160122	0.838539632	0.727832304	0.971188216	1.056604103	0.395119157	0.560947264	0.104152599	0.692691161	1.210896853	0.634336921	0.617709208
LCC1069_52	0.10388488	0.720075375	0.273063675	0.174506318	0.316114024	-0.064470967	0.392424839	0.206724003	-0.001882864	0.232946907	-0.136635452	0.441393925	0.545759817	0.451642091	-0.103446981	0.311921939	-0.060924964	0.069836208	0.422094964	0.096076603	0.07912727
LCC1070_52	0.997411934	1.073105285	0.332613394	0.798025581	0.986309152	1.004214099	1.003893457	0.469314342	0.751440275	0.906049369	1.091843139	0.500041607	0.652708364	0.774336042	1.01193112	0.507917015	0.662439724	0.47158373	1.563725588	0.749203131	0.921422056
LCC1071_0	0.180011699	-0.36902805	-0.128597871	-0.336695099	-0.421372111	-0.027746775	-0.119509538	0.748299173	-0.782501208	0.120123309	0.236714384	0.02116887	-0.007942067	-0.086281882	-0.221820864	-0.292287092	0.333352202	0.132453772	0.37291768	0.196635129	0.681783493
LCC1071_52	1.005140457	0.916748655	0.523894749	0.829238932	0.846405052	0.621448867	1.370234709	0.886951973	1.124105404	1.110673414	0.989803373	1.183304791	1.12413024	1.006540848	0.907010846	0.90852176	0.93325686	0.856396337	1.567724454	1.120563397	1.357299235
